Flagged Share,Flagged Flights,Disruption Rate in Flagged Group,Baseline Disruption Rate,Lift vs Baseline,Captured Disruptions,Share of All Disruptions Captured
Top 5%,3750,0.4381333333333333,0.21208,2.0658870866339747,1643,0.10329435433169873
Top 10%,7500,0.38626666666666665,0.21208,1.8213252860555764,2897,0.18213252860555765
Top 20%,15000,0.3386,0.21208,1.596567333081856,5079,0.31931346661637117
Top 30%,22500,0.31177777777777776,0.21208,1.4700951422943125,7015,0.4410285426882937
