analysis_period,flights,disruption_rate,delay15_rate,cancellation_rate,diversion_rate,avg_arr_delay,median_arr_delay
Thanksgiving Week,456824,19.6927044113269,18.80198938759785,0.740766684762622,0.1499483389664291,4.378825192432994,-7.0
Christmas Week,449886,25.396433763220017,23.75601819127512,1.3501198081291705,0.2902957638157222,9.675699312551695,-5.0
New Year's Week,391940,23.873807215390112,22.72975455426851,0.8932489666785732,0.250803694443027,7.795349665510407,-5.0
Jan 15-30 Baseline,834721,24.317107153168543,19.374377786110568,4.739667505669559,0.20306186138841603,6.39300257226865,-7.0
