season,analysis_period,DepTimeBlk,flights,disruption_rate,delay15_rate,cancellation_rate
2024-2025,New Year's Week,1900-1959,6943,32.47875558116088,30.966441019732105,0.8641797493878728
2024-2025,New Year's Week,2000-2059,6350,33.63779527559055,31.874015748031496,1.2440944881889764
2024-2025,New Year's Week,2100-2159,4505,33.873473917869035,31.942286348501664,1.4428412874583796
2024-2025,New Year's Week,2200-2259,3446,29.10621009866512,27.71329077190946,0.9286128845037724
2024-2025,New Year's Week,2300-2359,1236,17.55663430420712,16.990291262135923,0.40453074433656955
2024-2025,Jan 15-30 Baseline,0001-0559,6991,14.018023172650551,10.670862537548276,3.2613360034329855
2024-2025,Jan 15-30 Baseline,0600-0659,18558,13.28268132341847,10.604591011962496,2.537989007436146
2024-2025,Jan 15-30 Baseline,0700-0759,19329,14.791246313828962,12.194112473485436,2.3281080242123235
2024-2025,Jan 15-30 Baseline,0800-0859,20052,14.751645721125076,12.552363853979653,1.994813484939158
2024-2025,Jan 15-30 Baseline,0900-0959,16575,14.36500754147813,12.187028657616892,1.9547511312217194
2024-2025,Jan 15-30 Baseline,1000-1059,17167,15.669598648569929,13.41527348983515,2.079571270460768
2024-2025,Jan 15-30 Baseline,1100-1159,18349,15.090740639816882,13.194179519319855,1.7821134666739333
2024-2025,Jan 15-30 Baseline,1200-1259,16993,16.23021244041664,14.029306184899665,2.036132525157418
2024-2025,Jan 15-30 Baseline,1300-1359,16840,16.49643705463183,14.631828978622327,1.7042755344418052
2024-2025,Jan 15-30 Baseline,1400-1459,16822,17.65545119486387,15.509451908215432,2.015218166686482
2024-2025,Jan 15-30 Baseline,1500-1559,16211,18.314724569736597,16.501141200419468,1.7025476528283265
2024-2025,Jan 15-30 Baseline,1600-1659,16311,19.355036478450124,17.080497823554655,2.0722212004168963
2024-2025,Jan 15-30 Baseline,1700-1759,18040,19.30709534368071,17.106430155210642,2.0177383592017737
2024-2025,Jan 15-30 Baseline,1800-1859,16940,20.11806375442739,17.502951593860686,2.355371900826446
2024-2025,Jan 15-30 Baseline,1900-1959,13689,21.162977573233984,18.408941485864563,2.4910512089999273
2024-2025,Jan 15-30 Baseline,2000-2059,11350,20.951541850220266,18.035242290748897,2.7665198237885464
2024-2025,Jan 15-30 Baseline,2100-2159,7363,20.399293766127936,17.194078500611166,3.0422382181176153
2024-2025,Jan 15-30 Baseline,2200-2259,4599,18.87366818873668,15.329419439008479,3.435529462926723
2024-2025,Jan 15-30 Baseline,2300-2359,1694,10.743801652892563,9.386068476977567,1.1806375442739079
2025-2026,Thanksgiving Week,0001-0559,5277,13.454614364222095,11.12374455182869,1.8381656244078073
2025-2026,Thanksgiving Week,0600-0659,10826,13.735451690375022,11.841862183631997,1.5610567153149826
2025-2026,Thanksgiving Week,0700-0759,11255,16.223900488671703,14.589071523767213,1.2527765437583296
2025-2026,Thanksgiving Week,0800-0859,10486,17.842838069807364,15.878313942399389,1.7547205798207133
2025-2026,Thanksgiving Week,0900-0959,9047,19.03393390074058,17.39803249696032,1.3706200950591356
2025-2026,Thanksgiving Week,1000-1059,9176,21.69790758500436,19.910636442894507,1.6020052310374893
2025-2026,Thanksgiving Week,1100-1159,9870,21.955420466058765,20.121580547112462,1.5805471124620063
2025-2026,Thanksgiving Week,1200-1259,9048,23.6737400530504,21.850132625994696,1.7351900972590626
2025-2026,Thanksgiving Week,1300-1359,8821,24.69107810905793,22.66182972452103,1.8025167214601518
2025-2026,Thanksgiving Week,1400-1459,8711,27.838365285271493,25.611296062449778,2.043393410630238
2025-2026,Thanksgiving Week,1500-1559,8508,29.007992477668076,26.833568406205927,1.9511048425011754
2025-2026,Thanksgiving Week,1600-1659,8627,30.67114871913759,28.468760867045322,2.040106641938101
2025-2026,Thanksgiving Week,1700-1759,8980,32.01559020044543,29.79955456570156,2.0378619153674835
2025-2026,Thanksgiving Week,1800-1859,8787,33.936497097985665,31.523842039376355,2.2191874359849777
2025-2026,Thanksgiving Week,1900-1959,7756,34.81175863847344,32.40072202166065,2.2692109334708612
2025-2026,Thanksgiving Week,2000-2059,7113,35.51244200759173,32.30704344158583,2.9945170814002533
2025-2026,Thanksgiving Week,2100-2159,5674,35.07225942897427,32.3228762777582,2.5731406415227354
2025-2026,Thanksgiving Week,2200-2259,4023,34.57618692518022,31.04648272433507,3.206562266964952
2025-2026,Thanksgiving Week,2300-2359,1475,26.305084745762713,21.35593220338983,4.338983050847458
2025-2026,Christmas Week,0001-0559,5447,13.787405911510922,11.951532953919589,1.6706443914081146
2025-2026,Christmas Week,0600-0659,10575,14.912529550827422,12.576832151300236,2.070921985815603
2025-2026,Christmas Week,0700-0759,10847,18.429058725915,16.133493131741496,1.9360191758089795
2025-2026,Christmas Week,0800-0859,10372,19.224836097184728,17.19051291939838,1.5618974161203238
2025-2026,Christmas Week,0900-0959,8540,23.75878220140515,22.259953161592506,1.0772833723653397
2025-2026,Christmas Week,1000-1059,8752,24.485831809872032,22.349177330895795,1.7824497257769651
2025-2026,Christmas Week,1100-1159,9388,26.77886663826161,24.872177247550063,1.5977844056242012
2025-2026,Christmas Week,1200-1259,8656,27.033271719038815,25.265711645101664,1.5365064695009243
2025-2026,Christmas Week,1300-1359,8717,28.51898588964093,26.87851324997132,1.433979580130779
2025-2026,Christmas Week,1400-1459,8563,30.935419829499004,28.6581805442018,2.102067032582039
2025-2026,Christmas Week,1500-1559,8292,31.765557163531117,29.425952725518574,2.1828268210323203
2025-2026,Christmas Week,1600-1659,8605,33.736199883788494,31.226031377106334,2.300987797791981
2025-2026,Christmas Week,1700-1759,9047,34.43130319442909,31.5905825135404,2.6085995357577096
2025-2026,Christmas Week,1800-1859,8713,36.30207735567543,32.88190060828647,3.17915758062665
2025-2026,Christmas Week,1900-1959,7779,37.575523846252736,33.89895873505592,3.3808972875690966
2025-2026,Christmas Week,2000-2059,6995,37.240886347391,33.95282344531809,2.9020729092208724
2025-2026,Christmas Week,2100-2159,5391,37.414208866629565,33.83416805787424,3.3203487293637544
2025-2026,Christmas Week,2200-2259,4057,36.45550899679566,32.51170815873798,3.672664530441213
2025-2026,Christmas Week,2300-2359,1470,27.687074829931973,24.625850340136054,2.6530612244897958
2025-2026,New Year's Week,0001-0559,4779,15.003138731952292,12.450303410755389,2.4900606821510776
2025-2026,New Year's Week,0600-0659,9201,18.508857732855123,15.846103684382133,2.369307683947397
2025-2026,New Year's Week,0700-0759,9589,21.03451871936594,19.084367504432162,1.5955782667640004
2025-2026,New Year's Week,0800-0859,9102,21.88529993408042,19.64403427818062,1.7358822236871019
2025-2026,New Year's Week,0900-0959,7475,23.745819397993312,22.086956521739133,1.431438127090301
2025-2026,New Year's Week,1000-1059,7714,26.549131449312934,24.48794399792585,1.866735805029816
2025-2026,New Year's Week,1100-1159,8242,28.718757583110893,26.65615141955836,1.7714147051686484
2025-2026,New Year's Week,1200-1259,7595,30.34891375905201,28.55826201448321,1.6326530612244898
2025-2026,New Year's Week,1300-1359,7711,32.00622487355725,30.42406951108806,1.4913759564258853
2025-2026,New Year's Week,1400-1459,7596,34.26803580832017,32.47761979989468,1.592943654555029
2025-2026,New Year's Week,1500-1559,7327,37.53241435785451,35.63532141394841,1.665074382421182
2025-2026,New Year's Week,1600-1659,7699,37.91401480711781,36.06961943109495,1.63657617872451
2025-2026,New Year's Week,1700-1759,8119,38.453011454612636,36.67939401404114,1.5642320482818082
2025-2026,New Year's Week,1800-1859,7851,41.1667303528213,39.17972232836581,1.6431027894535728
2025-2026,New Year's Week,1900-1959,7038,41.56010230179028,39.64194373401534,1.4919011082693947
2025-2026,New Year's Week,2000-2059,6324,42.22011385199241,40.02213788741303,1.7552182163187855
2025-2026,New Year's Week,2100-2159,4736,42.77871621621622,40.223817567567565,2.38597972972973
2025-2026,New Year's Week,2200-2259,3664,39.76528384279476,37.527292576419214,2.074235807860262
2025-2026,New Year's Week,2300-2359,1323,31.443688586545733,28.798185941043087,2.2675736961451247
2025-2026,Jan 15-30 Baseline,0001-0559,6345,20.37825059101655,12.466509062253744,7.832939322301025
2025-2026,Jan 15-30 Baseline,0600-0659,18547,23.52941176470588,13.851296705666686,9.548714077748423
2025-2026,Jan 15-30 Baseline,0700-0759,20756,23.77625746772018,15.841202543842744,7.785700520331471
2025-2026,Jan 15-30 Baseline,0800-0859,20378,26.185101580135438,17.916380410246344,7.998822259299245
2025-2026,Jan 15-30 Baseline,0900-0959,16964,25.129686394718227,18.256307474652207,6.649375147370903
2025-2026,Jan 15-30 Baseline,1000-1059,17811,27.758127000168436,19.454269833249114,8.124192914491045
2025-2026,Jan 15-30 Baseline,1100-1159,18103,26.8463790531956,19.853063028227368,6.822073689443739
2025-2026,Jan 15-30 Baseline,1200-1259,18237,28.957613642594726,21.51121346712727,7.19964906508746
2025-2026,Jan 15-30 Baseline,1300-1359,17441,28.536207786250788,21.61573304283011,6.77140072243564
2025-2026,Jan 15-30 Baseline,1400-1459,16116,29.653760238272525,22.679324894514767,6.794489947877885
2025-2026,Jan 15-30 Baseline,1500-1559,17596,31.268470106842468,23.931575358035918,7.0982041373039335
2025-2026,Jan 15-30 Baseline,1600-1659,16571,31.838754450546137,24.506668275903685,7.211393398105123
2025-2026,Jan 15-30 Baseline,1700-1759,19130,32.739153162571874,24.171458442237324,8.379508625196028
2025-2026,Jan 15-30 Baseline,1800-1859,16086,32.46301131418625,24.44361556633097,7.901280616685316
2025-2026,Jan 15-30 Baseline,1900-1959,14963,34.07739089754728,24.988304484394842,8.9286907705674
2025-2026,Jan 15-30 Baseline,2000-2059,10226,31.801290827302953,24.3496968511637,7.3440250342264815
2025-2026,Jan 15-30 Baseline,2100-2159,8198,32.98365454989022,21.883386191754088,10.856306416199073
2025-2026,Jan 15-30 Baseline,2200-2259,4108,29.18695228821811,18.9143135345667,9.980525803310613
2025-2026,Jan 15-30 Baseline,2300-2359,1588,17.506297229219143,10.894206549118387,6.486146095717885
