recommendation,windows,flights,avg_risk_score,actual_disruption_rate,actual_delay15_rate,actual_cancellation_rate,avg_risk_score_pct,actual_disruption_rate_pct,actual_delay15_rate_pct,actual_cancellation_rate_pct
Extra on-call coverage,610.0,23938.0,0.6220124153154257,0.3874592697802657,0.36201854791544824,0.022391177207786783,62.20124153154257,38.74592697802657,36.201854791544825,2.2391177207786783
Monitor closely,1071.0,42346.0,0.5784149701952198,0.35606668870731595,0.29771406980588483,0.05537713125206631,57.84149701952198,35.606668870731596,29.771406980588484,5.537713125206631
Normal coverage,5191.0,201047.0,0.49231650357528073,0.2730157624833994,0.22893154337045565,0.04153755092092894,49.231650357528075,27.30157624833994,22.893154337045566,4.153755092092894
